index,array_name,data_type,ax,az,bx,bz,mx,mz,nx,nz,apparent_resistivity_ohm_m,resistance_ohm,geometric_factor_m,dobs,standard_deviation
155,wenner,apparent_resistivity,150.0,0.0,300.0,0.0,200.0,0.0,250.0,0.0,55.42,0.1764073389230568,314.1592653589793,55.42,2.7710000000000004
156,wenner,apparent_resistivity,140.0,0.0,290.0,0.0,190.0,0.0,240.0,0.0,55.54,0.17678931078647733,314.1592653589793,55.54,2.777
157,wenner,apparent_resistivity,130.0,0.0,280.0,0.0,180.0,0.0,230.0,0.0,73.17,0.23290734372067964,314.1592653589793,73.17,3.6585
158,wenner,apparent_resistivity,120.0,0.0,270.0,0.0,170.0,0.0,220.0,0.0,61.14,0.19461466441276962,314.1592653589793,61.14,3.0570000000000004
159,wenner,apparent_resistivity,110.0,0.0,260.0,0.0,160.0,0.0,210.0,0.0,66.64,0.2121217081528781,314.1592653589793,66.64,3.3320000000000003
160,wenner,apparent_resistivity,100.0,0.0,250.0,0.0,150.0,0.0,200.0,0.0,51.3,0.1632929716122846,314.1592653589793,51.3,2.565
161,wenner,apparent_resistivity,90.0,0.0,240.0,0.0,140.0,0.0,190.0,0.0,73.32,0.2333848085499553,314.1592653589793,73.32,3.666
162,wenner,apparent_resistivity,80.0,0.0,230.0,0.0,130.0,0.0,180.0,0.0,65.54,0.20862029940485644,314.1592653589793,65.54,3.2770000000000006
163,wenner,apparent_resistivity,70.0,0.0,220.0,0.0,120.0,0.0,170.0,0.0,77.56,0.24688114772414804,314.1592653589793,77.56,3.878
164,wenner,apparent_resistivity,60.0,0.0,210.0,0.0,110.0,0.0,160.0,0.0,72.76,0.2316022731873261,314.1592653589793,72.76,3.6380000000000003
165,wenner,apparent_resistivity,50.0,0.0,200.0,0.0,100.0,0.0,150.0,0.0,75.13,0.2391462174898819,314.1592653589793,75.13,3.7565
166,wenner,apparent_resistivity,40.0,0.0,190.0,0.0,90.0,0.0,140.0,0.0,69.11,0.21998396234161774,314.1592653589793,69.11,3.4555000000000002
167,wenner,apparent_resistivity,30.0,0.0,180.0,0.0,80.0,0.0,130.0,0.0,82.17,0.2615552334772208,314.1592653589793,82.17,4.1085
168,wenner,apparent_resistivity,20.0,0.0,170.0,0.0,70.0,0.0,120.0,0.0,78.62,0.2502552325176962,314.1592653589793,78.62,3.9310000000000005
169,wenner,apparent_resistivity,10.0,0.0,160.0,0.0,60.0,0.0,110.0,0.0,89.21,0.2839642494645596,314.1592653589793,89.21,4.4605
170,wenner,apparent_resistivity,0.0,0.0,150.0,0.0,50.0,0.0,100.0,0.0,89.94,0.2862879116337013,314.1592653589793,89.94,4.497
171,wenner,apparent_resistivity,240.0,0.0,420.0,0.0,300.0,0.0,360.0,0.0,92.54,0.2454699738953999,376.9911184307752,92.54,4.627000000000001
172,wenner,apparent_resistivity,230.0,0.0,410.0,0.0,290.0,0.0,350.0,0.0,92.12,0.24435588929375665,376.9911184307752,92.12,4.606000000000001
